,sample_size_pergroup,sample_size,pvalue,coefficient,M
159,18,18,0.37389947550898917,-0.07838191985798036,1
160,18,18,0.00284186117590881,-0.21527726505005154,1
161,18,18,0.655923538051506,0.03244305976157918,1
162,18,18,0.46719010827916196,-0.06752643482270458,1
163,18,18,0.1862649052424774,-0.09936534639108968,1
164,18,18,0.1207075886745458,-0.14116523965656944,1
165,18,18,0.4675522113948144,-0.06440571165814885,1
166,18,18,0.18167773281252697,-0.12180443821715928,1
167,18,18,0.016142659860041677,-0.20403831459314514,1
168,18,18,0.034579733296059005,-0.15373004096559084,1
169,18,18,0.17141709188037813,-0.10352126809082376,1
170,18,18,0.06316475645955101,-0.15793116181950026,1
171,18,18,0.0025908911353901575,-0.26120513149019847,1
172,18,18,0.216808495511156,-0.11506541817514214,1
173,18,18,0.5719113766191823,-0.04521246692310713,1
174,18,18,0.1244867945161425,-0.12596084435362595,1
175,18,18,0.03637344955854099,-0.2375745609943513,1
176,18,18,0.03324358459669695,0.11396510121722365,1
177,18,18,0.03947712734740647,-0.18782761633305375,1
178,18,18,0.013115492612779346,-0.19140852105769626,1
179,18,18,0.28124992980846275,-0.08825856943648978,1
180,18,18,0.7252621564261916,-0.034871498207368075,1
181,18,18,0.07486907611271337,-0.18430439414300256,1
182,18,18,0.34886316775376736,-0.08998025292930475,1
183,18,18,0.8761653247135619,0.018003328751628096,1
184,18,18,0.0067168556196403,-0.2004714317390033,1
185,18,18,0.8577976239247932,0.015002821820490536,1
186,18,18,0.2429578141510288,0.07964678907712561,1
187,18,18,0.46422954278357453,-0.07008833767719372,1
188,18,18,0.26392910175748086,-0.11707515776723613,1
189,18,18,0.045672855012567216,-0.18800537079344629,1
190,18,18,0.613779206973873,-0.03676673659416325,1
191,18,18,0.07094502367268567,-0.14426048900865615,1
192,18,18,0.0053135106989928614,-0.18546153023493908,1
193,18,18,2.0242656959188168e-05,-0.3545586880138693,1
194,18,18,0.0003191446088165838,-0.28309367069376673,1
195,18,18,0.30060879414148245,-0.09469254110857762,1
196,18,18,0.6376714830076892,-0.03648647612600928,1
197,18,18,0.10572074646900369,-0.10162155487280111,1
198,18,18,0.031621584300235595,-0.18362512327462502,1
199,18,18,0.6932683028786035,-0.0385315375319571,1
200,18,18,0.7973481889205504,-0.018054982009410907,1
201,18,18,0.8750632755960339,-0.015410551154217618,1
202,18,18,0.27220906065700545,-0.10401879605707946,1
203,18,18,0.023939951788687294,-0.21722839671664515,1
204,18,18,0.15075863033647116,-0.11117530913514452,1
205,18,18,0.1360050629762109,-0.11211292717233269,1
206,18,18,0.551420604567981,0.06600427779004031,1
207,18,18,0.027482551783240803,-0.19303275115921315,1
208,18,18,0.27117228143796657,-0.08747974520608592,1
209,18,18,0.12652346496221506,-0.12388478312342736,1
210,18,18,0.02320933454724884,-0.1809146991236754,1
211,18,18,0.7424517850359145,0.03236108674095541,1
212,18,18,0.3211488459453936,-0.10947535363053801,1
213,18,18,0.46654646106687225,0.06598226625958799,1
214,18,18,0.003878376842522704,-0.319740266215659,1
215,18,18,0.07111829968455312,-0.18800158023619332,1
216,18,18,0.16283917448890783,-0.09921091670961842,1
217,18,18,0.31471773409260506,-0.07751405040661166,1
218,18,18,0.005815375920788143,-0.1985342901538411,1
219,18,18,0.01599231152623877,-0.19795032819679234,1
220,18,18,0.6426224484449852,0.043849258281716826,1
221,18,18,0.7853763552612042,-0.026121690695384878,1
222,18,18,0.12070155343541353,-0.13560072608627824,1
223,18,18,0.09285159697625414,-0.11247028672810154,1
224,18,18,0.004442699775324423,-0.20266623670360653,1
225,18,18,0.05587667086896558,-0.1564713357367486,1
226,18,18,0.0001258931670419469,-0.3143180953375107,1
227,18,18,0.8782600174358562,0.014328916319597774,1
228,18,18,0.2978280879834685,-0.08297672594379467,1
229,18,18,0.001619231439926187,-0.2856730997422779,1
230,18,18,0.11430148314452347,-0.13655806959258696,1
231,18,18,0.034078139475174324,-0.2589081371118598,1
232,18,18,0.7715068516215309,-0.024773408368203756,1
